feature,mean_abs_shap_legitimate,mean_abs_shap_phishing
n_links,0.01766444645709723,0.01766444645709722
n_scripts,0.012238568780101253,0.01223856878010125
external_link_ratio,0.006588340222558648,0.006588340222558641
word_count,0.006209062904037646,0.0062090629040376325
text_len,0.00600506156109696,0.006005061561096966
title_len,0.005482371642583527,0.00548237164258353
n_external_links,0.0047199856260323955,0.004719985626032385
n_images,0.0037001492398178316,0.003700149239817821
n_inputs,0.003089209080104925,0.003089209080104923
keyword_hits,0.0030617629854697783,0.0030617629854697813
has_email_field,0.002123925582617351,0.002123925582617358
n_forms,0.0015846801680086346,0.001584680168008641
n_iframes,0.0008043100746829264,0.0008043100746829255
has_submit_field,0.0007834295790107945,0.000783429579010795
has_password_field,0.00032297987451872343,0.0003229798745187231
